I1,I2,I3,T1,T2,T3,Avarage,Rms,Kurtosis,Skewness,Category
0.09545,0.57455,0.35182,1.26914,1.5142,0.83827,6.44189,5.61708,-1.78789,5.26816,正常 220V
0.11636,0.61,0.35,1.26543,1.51235,0.84259,6.43838,5.61408,-1.78478,5.25716,正常 220V
0.10455,0.58455,0.35,1.27037,1.51111,0.82346,6.43532,5.61194,-1.78341,5.25057,正常 220V
0.10455,0.51364,0.35091,1.27778,1.51235,0.82654,6.43217,5.60233,-1.78457,5.25469,正常 220V
0.11182,0.60545,0.34909,1.2716,1.50679,0.82469,6.43081,5.59913,-1.7862,5.25948,正常 220V
0.09545,0.56091,0.34727,1.26914,1.50864,0.83827,6.42684,5.59842,-1.78648,5.25947,正常 220V
0.09545,0.61727,0.34727,1.2679,1.5142,0.82654,6.42397,5.5896,-1.78583,5.25591,正常 220V
0.10818,0.51727,0.35182,1.26235,1.50432,0.82654,6.41733,5.60738,-1.76021,5.23447,正常 220V
0.1,0.62091,0.54273,1.41975,1.63272,1.58889,7.09095,6.65233,-1.87942,5.4753,过压 240V
0.09091,0.55636,0.44091,1.34691,1.63704,1.59321,6.9419,6.70843,-1.69663,4.96788,过压 240V
0.09,0.51273,0.44,1.34198,1.63457,1.59198,6.92925,6.72981,-1.6786,4.91088,过压 240V
0.08818,0.55364,0.45273,1.34568,1.63704,1.59321,6.93164,6.71284,-1.68665,4.93281,过压 240V
0.08727,0.61,0.45182,1.34815,1.62901,1.59074,6.93293,6.69379,-1.69775,4.96877,过压 240V
0.08273,0.60455,0.53091,1.34012,1.6358,1.59198,6.92681,6.68425,-1.69715,4.96909,过压 240V
0.09182,0.61364,0.44182,1.34691,1.62901,1.58951,6.9193,6.66869,-1.69406,4.96164,过压 240V
0.09,0.58364,0.45455,1.34198,1.62716,1.58951,6.91455,6.67364,-1.69293,4.9578,过压 240V
0.09545,0.54727,0.44636,1.34136,1.62901,1.57963,6.91781,6.65731,-1.69989,4.97584,过压 240V
0.10273,0.59636,0.45273,1.34444,1.63272,1.58395,6.91211,6.64433,-1.70202,4.98405,过压 240V
0.08727,0.52455,0.44364,1.34321,1.62716,1.58395,6.90464,6.65431,-1.69248,4.95183,过压 240V
0.10091,0.49636,0.45909,1.34136,1.62346,1.58889,6.90705,6.63849,-1.70317,4.98509,过压 240V
0.09727,0.57727,0.50455,1.34136,1.62469,1.57531,6.9035,6.62139,-1.70491,4.99135,过压 240V
0.09182,0.50091,0.44182,1.34321,1.62346,1.58086,6.89891,6.61169,-1.70755,5.00243,过压 240V
0.09364,0.57273,0.45,1.33765,1.62593,1.57716,6.89688,6.60158,-1.70835,5.00534,过压 240V
0.09818,0.56364,0.44818,1.33765,1.62222,1.57716,6.88659,6.60148,-1.69981,4.97894,过压 240V
0.10273,0.62455,0.44636,1.34012,1.62037,1.57161,6.88323,6.62371,-1.71049,5.02465,过压 240V
0.08727,0.52455,0.46545,1.33889,1.61914,1.57963,6.8818,6.57687,-1.70287,4.99257,过压 240V
0.09636,0.61818,0.44636,1.34198,1.61543,1.58086,6.88448,6.56305,-1.71375,5.02345,过压 240V
0.1,0.57909,0.45,1.34198,1.62161,1.57654,6.87624,6.55289,-1.70944,5.01266,过压 240V
0.09545,0.53273,0.44545,1.34136,1.62037,1.57963,6.85601,6.63622,-1.70489,5.01567,过压 240V
0.09909,0.52182,0.44909,1.33889,1.61667,1.5784,6.87269,6.54254,-1.71161,5.0187,过压 240V
0.08455,0.53636,0.49818,1.33333,1.61543,1.57161,6.87127,6.52787,-1.7157,5.03339,过压 240V
0.09545,0.61636,0.45909,1.33086,1.62161,1.57284,6.86715,6.52349,-1.71537,5.03352,过压 240V
0.09545,0.61727,0.44545,1.33765,1.61543,1.57284,6.86388,6.51788,-1.713,5.02398,过压 240V
0.09636,0.53818,0.44545,1.33086,1.61667,1.57531,6.86237,6.5246,-1.70799,5.02094,过压 240V
0.09364,0.48909,0.45818,1.33457,1.61235,1.57531,6.85109,6.51036,-1.70802,5.01528,过压 240V
0.11,0.63182,0.44636,1.33519,1.61235,1.57284,6.85649,6.48098,-1.72365,5.06185,过压 240V
0.11,0.63182,0.44636,1.33519,1.61235,1.57284,6.85649,6.48098,-1.72365,5.06185,过压 240V
0.09636,0.61818,0.48909,1.33333,1.61235,1.56728,6.85074,6.47723,-1.72237,5.05852,过压 240V
0.12455,0.61909,0.34909,1.25,1.37716,0.73889,5.99768,4.63834,-1.96669,5.74485,线圈老化 10Ω
0.10818,0.54455,0.35636,1.19383,1.37839,0.7537,5.90712,4.58586,-1.87962,5.54847,线圈老化 10Ω
0.10727,0.58818,0.35818,1.18827,1.38148,0.74815,5.90268,4.57823,-1.87923,5.55016,线圈老化 10Ω
0.11182,0.56364,0.35818,1.18457,1.38148,0.75494,5.90189,4.56897,-1.88826,5.57927,线圈老化 10Ω
0.11091,0.49727,0.35364,1.18889,1.37346,0.75802,5.90203,4.57165,-1.88264,5.5556,线圈老化 10Ω
0.11636,0.58364,0.36182,1.19259,1.38148,0.75,5.89809,4.55777,-1.88967,5.58176,线圈老化 10Ω
0.09818,0.57818,0.35545,1.18704,1.37716,0.74568,5.89363,4.56855,-1.87651,5.53961,线圈老化 10Ω
0.11182,0.50727,0.35364,1.18333,1.37469,0.75679,5.8922,4.57712,-1.87228,5.52334,线圈老化 10Ω
0.09364,0.55909,0.35545,1.18827,1.37593,0.75679,5.8906,4.56387,-1.88038,5.55226,线圈老化 10Ω
0.10545,0.62727,0.35818,1.18333,1.37839,0.75,5.88915,4.54794,-1.88635,5.56983,线圈老化 10Ω
0.09182,0.57091,0.36182,1.17839,1.37284,0.76049,5.88838,4.54972,-1.88902,5.57923,线圈老化 10Ω
0.12,0.6,0.36273,1.18148,1.37284,0.74938,5.88874,4.5388,-1.88984,5.58275,线圈老化 10Ω
0.11545,0.55273,0.36182,1.19383,1.38642,0.75247,5.88605,4.53431,-1.89072,5.58415,线圈老化 10Ω
0.11,0.63182,0.36091,1.18704,1.37593,0.75062,5.88404,4.53338,-1.89301,5.59092,线圈老化 10Ω
0.09545,0.51818,0.36091,1.17901,1.3716,0.74259,5.88112,4.5368,-1.88668,5.57238,线圈老化 10Ω
0.09909,0.62091,0.35818,1.18272,1.37037,0.74136,5.88218,4.53257,-1.88987,5.58094,线圈老化 10Ω
0.10364,0.51273,0.36,1.1858,1.37037,0.7537,5.87878,4.53358,-1.88783,5.57684,线圈老化 10Ω
0.10545,0.51455,0.36,1.18025,1.3716,0.75926,5.87523,4.52327,-1.88661,5.57379,线圈老化 10Ω
0.09455,0.54364,0.36091,1.18827,1.36975,0.7642,5.87464,4.52029,-1.88897,5.58194,线圈老化 10Ω
0.10182,0.53818,0.36,1.18519,1.37407,0.7358,5.87601,4.51714,-1.89216,5.58883,线圈老化 10Ω
0.10727,0.54909,0.36182,1.1858,1.37407,0.75062,5.87236,4.51738,-1.89033,5.58535,线圈老化 10Ω
0.11727,0.55455,0.36091,1.17716,1.37037,0.74815,5.87165,4.51356,-1.89154,5.58669,线圈老化 10Ω
0.1,0.63636,0.36,1.18025,1.3716,0.75185,5.87027,4.50943,-1.89018,5.586,线圈老化 10Ω
0.11182,0.57182,0.36273,1.17901,1.3821,0.74815,5.8679,4.50527,-1.89103,5.58711,线圈老化 10Ω
0.10545,0.52909,0.36182,1.17839,1.36852,0.75247,5.86818,4.51391,-1.88685,5.57513,线圈老化 10Ω
0.10273,0.59545,0.36091,1.17839,1.37407,0.74259,5.86855,4.50621,-1.89214,5.5884,线圈老化 10Ω
0.11364,0.59818,0.36182,1.18395,1.37593,0.74259,5.86885,4.50416,-1.89307,5.58996,线圈老化 10Ω
0.10727,0.53909,0.36364,1.18395,1.36296,0.74938,5.86409,4.50056,-1.8928,5.59512,线圈老化 10Ω
0.11545,0.60909,0.36545,1.17593,1.36852,0.75494,5.86208,4.48822,-1.89506,5.60207,线圈老化 10Ω
0.10545,0.60818,0.36364,1.17839,1.37407,0.74259,5.86438,4.49336,-1.89676,5.60447,线圈老化 10Ω
0.13364,0.57636,0.41091,1.0321,1.08827,0.60432,4.7584,2.80891,-2.07846,6.15862,线圈老化 50Ω
0.11273,0.56364,0.41636,0.99691,1.08827,0.60864,4.73344,2.7781,-2.07266,6.16344,线圈老化 50Ω
0.11091,0.53364,0.41727,0.99938,1.07901,0.60988,4.73078,2.77251,-2.07276,6.16488,线圈老化 50Ω
0.10818,0.57364,0.41636,0.99568,1.09012,0.6142,4.73109,2.77137,-2.0757,6.17701,线圈老化 50Ω
0.10636,0.6,0.41909,1.00062,1.09136,0.6142,4.73274,2.7718,-2.07658,6.17836,线圈老化 50Ω
